Type,Md1,Md2,Md3,Md4,Mc1,Mc2,Mc3,Md5,Md6,Mc4,Mc5
A100-3-1,1,1,1,1,1,1,0,1,1,1,1
A100-3-10,1,1,1,1,1,1,0,1,1,1,0
A100-3-100,1,1,1,1,1,1,0,1,1,0,0
A100-3-101,1,1,0,1,1,1,1,1,1,0,1
A100-3-102,1,1,1,1,1,1,0,1,1,0,0
A100-3-103,1,1,1,1,1,1,1,1,1,1,0
A100-3-104,1,1,0,1,1,1,0,1,1,0,0
A100-3-105,1,1,0,1,1,1,1,1,1,0,0
A100-3-106,1,1,0,1,1,1,0,1,1,1,0
A100-3-107,1,1,1,1,1,1,1,1,1,1,0
A100-3-108,1,1,1,1,1,1,1,1,1,0,0
A100-3-109,1,1,0,1,1,1,1,1,1,0,0
A100-3-11,1,1,0,1,1,1,0,1,1,0,1
A100-3-110,1,1,1,1,1,1,0,1,1,1,1
A100-3-111,1,1,1,1,1,1,1,1,1,1,0
A100-3-112,1,1,1,1,1,1,0,1,1,1,1
A100-3-113,1,1,1,1,1,1,1,1,1,1,1
A100-3-114,1,1,0,1,1,1,0,1,1,0,1
A100-3-115,1,1,1,1,1,1,1,1,1,0,0
A100-3-116,1,1,0,1,1,1,1,1,1,0,1
A100-3-117,1,1,0,1,1,1,1,1,1,1,0
A100-3-118,1,1,0,1,1,1,0,1,1,1,1
A100-3-119,1,1,1,1,1,1,1,1,1,0,0
A100-3-12,1,1,0,1,1,1,1,1,1,0,0
A100-3-120,1,1,0,1,1,1,0,1,1,1,1
A100-3-121,1,1,1,1,1,1,1,1,1,1,0
A100-3-122,1,1,1,1,1,1,0,1,1,1,1
A100-3-123,1,1,1,1,1,1,0,1,1,0,1
A100-3-124,1,1,0,1,1,1,0,1,1,1,0
A100-3-125,1,1,0,1,1,1,0,1,1,1,0
A100-3-126,1,1,1,1,1,1,0,1,1,0,0
A100-3-127,1,1,1,1,1,1,0,1,1,0,1
A100-3-128,1,1,0,1,1,1,1,1,1,0,0
A100-3-129,1,1,0,1,1,1,1,1,1,0,0
A100-3-13,1,1,0,1,1,1,1,1,1,1,0
A100-3-130,1,1,1,1,1,1,0,1,1,0,0
A100-3-131,1,1,1,1,1,1,0,1,1,0,0
A100-3-132,1,1,0,1,1,1,1,1,1,0,0
A100-3-133,1,1,0,1,1,1,1,1,1,0,0
A100-3-134,1,1,0,1,1,1,0,1,1,1,1
A100-3-135,1,1,1,1,1,1,0,1,1,0,1
A100-3-136,1,1,0,1,1,1,0,1,1,1,1
A100-3-137,1,1,1,1,1,1,0,1,1,0,1
A100-3-138,1,1,1,1,1,1,0,1,1,1,0
A100-3-139,1,1,1,1,1,1,0,1,1,0,0
A100-3-14,1,1,1,1,1,1,1,1,1,1,1
A100-3-140,1,1,0,1,1,1,0,1,1,0,1
A100-3-141,1,1,0,1,1,1,0,1,1,0,0
A100-3-142,1,1,0,1,1,1,1,1,1,0,0
A100-3-143,1,1,0,1,1,1,0,1,1,1,1
A100-3-144,1,1,1,1,1,1,1,1,1,1,0
A100-3-145,1,1,0,1,1,1,1,1,1,0,1
A100-3-146,1,1,0,1,1,1,0,1,1,0,0
A100-3-147,1,1,1,1,1,1,1,1,1,0,0
A100-3-148,1,1,1,1,1,1,1,1,1,1,1
A100-3-149,1,1,0,1,1,1,0,1,1,0,1
A100-3-15,1,1,1,1,1,1,1,1,1,1,1
A100-3-150,1,1,0,1,1,1,1,1,1,1,0
A100-3-151,1,1,1,1,1,1,1,1,1,0,0
