date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,42.3046,0.7567,1.0757,1.0277,1.2473,1.2335,1.4256,1.6177,1.285,0.7944,1.2678,0.7087,0.9831,0.7121,0.6607,0.7052,0.8322,0.7293,0.6332,0.8802,0.966,0.7841,0.5886,1.1066,0.8356,0.4823,0.6058,0.9351,0.5166,0.6538,0.7327,0.3931,0.5818,0.6847,0.6435,0.6263,0.7739,0.815,0.695,1.6808,1.4724,0.9351,1.062,0.8871,0.9488,0.9728,0.99,0.7498,0.6092
12/13/2022,61.3886,0.9675,0.8981,1.1437,1.3466,2.6866,2.0299,1.5121,1.9872,1.1597,1.5601,1.9712,1.181,1.2505,0.802,0.9675,1.2451,1.0903,1.0903,1.0209,1.4427,0.8927,1.2878,0.9248,1.3679,1.0049,1.3466,1.6188,0.8981,1.165,1.2878,0.5778,0.5564,0.5884,0.6685,0.8394,1.0529,1.0369,1.1864,3.9105,3.3953,1.2184,0.7006,1.165,0.9301,1.0049,1.3412,1.1063,0.9622
12/12/2022,82.2586,2.1197,1.4439,1.0429,2.6989,1.741,2.9217,1.5924,3.1741,2.5058,1.8523,1.3251,2.0157,1.7038,0.9984,1.3028,1.533,1.1023,1.6667,1.9414,1.4068,1.0949,1.0355,1.2731,1.3697,1.5479,1.3845,1.934,0.9538,1.3697,1.4068,1.3028,1.2954,0.7682,1.1246,0.783,1.3845,1.1766,1.1543,6.1556,5.3314,1.3474,2.1122,1.08,1.9266,1.3697,1.2508,1.7707,1.4662
12/11/2022,10.0591,0.2058,0.2078,0.2118,0.2142,0.2453,0.2198,0.1998,0.2233,0.205,0.2202,0.2472,0.2021,0.1934,0.1895,0.2111,0.2087,0.2146,0.2155,0.2041,0.1953,0.1961,0.2004,0.2157,0.1871,0.1914,0.1949,0.2268,0.1877,0.2157,0.1957,0.1864,0.1877,0.1959,0.1881,0.192,0.2025,0.1982,0.1971,0.3316,0.3089,0.2142,0.2013,0.1899,0.1961,0.2052,0.2146,0.1906,0.2128
12/10/2022,50.7652,1.1203,0.9493,1.1503,1.7746,2.0954,1.796,1.719,1.826,0.8851,1.1332,1.6292,0.7354,0.8723,0.9535,0.8851,1.099,1.1845,0.9022,0.8595,0.8081,1.0647,0.898,0.868,0.9493,0.9621,0.6884,1.424,0.7055,0.7269,1.0476,0.6157,0.8723,0.821,0.5473,0.5216,0.7996,1.1203,1.1717,1.758,1.539,1.0947,0.5858,0.945,0.9621,0.8808,1.3042,0.8851,0.6285
12/9/2022,50.5774,1.0736,1.1034,0.9586,1.3972,1.9251,1.2226,1.4993,0.9501,1.2141,1.5589,1.444,1.1161,0.8011,0.9288,1.1161,0.8394,1.0949,0.9884,1.1672,1.1587,1.031,0.7159,1.2737,0.9756,1.0012,0.6989,0.882,0.767,0.9245,0.7372,0.7159,0.5754,0.5158,0.7713,0.5286,0.9075,0.7627,1.0054,2.8895,2.5148,0.9331,0.9799,0.8096,0.6095,0.8564,1.3077,0.6606,0.6691
12/8/2022,67.4992,1.2317,1.547,0.8628,2.3741,1.9992,1.5708,2.3205,1.9933,1.91,2.2075,1.0235,1.1841,1.1841,1.2734,1.2555,1.1365,1.2971,0.9104,1.2734,1.4697,1.2674,1.0116,1.1663,1.4637,1.0651,1.2971,1.6482,0.9342,1.8624,0.9759,0.9699,0.8569,0.839,0.6248,0.7379,1.2258,1.0473,1.5292,3.3199,2.886,1.6482,0.9045,1.6303,0.9997,1.4994,1.3923,1.1722,1.4994
12/7/2022,50.4836,1.301,0.9866,0.8761,1.4369,2.3121,1.866,0.8634,1.2372,1.267,1.4327,1.8065,0.8846,0.9356,0.9569,0.7444,1.1565,0.9059,0.8082,0.8931,1.0036,0.8719,1.114,0.8931,0.685,0.5618,0.8252,0.7105,0.6255,0.9441,1.0036,0.481,0.702,0.5448,0.5533,0.7402,0.8082,0.7105,0.8549,3.472,3.0172,0.6765,1.0418,0.702,1.1778,0.7912,0.7699,0.7274,0.8039
12/6/2022,50.1074,0.9751,1.1815,0.8362,1.6699,1.5688,1.3541,0.9078,1.0888,1.3078,1.3667,1.2151,0.9751,0.7099,0.9204,1.1225,1.0341,0.9162,0.992,1.173,1.0888,0.6888,0.832,1.1099,1.173,0.8109,1.0425,1.5562,0.6425,1.2909,0.8867,0.5077,0.8699,0.6804,0.6551,0.6888,0.9035,1.0088,0.6551,2.3824,2.0775,0.6551,1.3499,0.6888,1.1309,0.7983,0.8446,1.0214,0.752
12/5/2022,54.4316,0.9328,1.1185,1.3089,1.8521,2.4743,1.8196,1.7593,1.0582,1.36,1.2996,1.5689,0.9978,0.7285,0.9932,0.7424,1.0628,0.8028,1.0767,1.0674,1.1882,1.1742,1.216,1.2996,1.151,0.9792,0.8121,1.4993,0.8353,1.6107,1.1232,0.6171,0.8074,0.8492,0.5474,0.891,0.7749,1.0953,0.7656,1.4207,1.2481,0.9978,0.8492,1.0582,1.2578,0.8724,1.2903,0.9606,1.216
12/4/2022,52.7397,1.312,1.312,0.8914,1.652,1.227,1.218,1.4194,1.9965,1.3881,1.3836,0.7483,1.2583,0.7125,0.8691,0.7438,1.0212,0.7035,1.2225,0.9049,0.9943,0.8914,0.9407,0.9138,0.6633,0.5962,0.9988,0.7393,0.6588,1.5089,0.972,0.5783,0.7707,0.6991,0.6141,0.6946,0.9272,0.7035,0.708,4.2673,3.703,0.717,0.6185,0.8736,1.1823,1.2315,0.802,0.8646,0.9228
12/3/2022,75.8661,1.1914,1.7208,0.9539,2.1076,3.6143,2.3995,1.2797,1.9651,2.0941,1.1779,1.7479,1.429,1.11,1.3272,1.4968,1.5511,1.1982,1.2661,1.809,1.2322,1.4765,1.2186,1.1372,0.9539,1.1032,1.3543,2.2977,0.8589,1.5986,1.4425,1.0896,0.9336,0.8657,0.9811,1.0218,1.2186,1.4154,1.0218,4.9695,4.3086,1.9651,1.4833,1.2865,1.7072,1.2932,1.429,1.2932,1.4697
12/2/2022,66.1827,1.3943,1.278,1.2314,1.6852,1.9936,1.6212,1.8423,2.1623,1.2896,2.046,1.2023,1.1732,1.2081,0.83,1.2663,1.2605,1.342,0.8649,1.1092,1.3594,1.4234,1.0045,0.958,0.8474,0.8183,1.4351,0.7834,0.9754,1.8074,1.2431,0.8765,0.7252,0.8881,0.8823,0.9754,1.0161,1.4525,0.8416,5.059,4.3858,1.3594,1.6387,1.086,1.2256,1.022,1.1383,0.923,1.2314
12/1/2022,78.404,1.624,1.6733,1.4621,2.2225,1.8704,1.5677,3.0462,1.793,2.1309,1.8071,1.3847,1.5959,1.2509,1.1242,1.4691,1.5677,1.786,1.8634,1.1664,1.8141,1.5748,1.8212,2.1098,0.8918,1.2086,1.096,1.8634,1.1664,1.8704,1.1453,1.1875,1.265,1.103,1.1101,0.7862,1.1664,1.9338,1.2931,4.3477,3.7724,2.0605,1.7296,0.9974,1.2227,1.7367,1.2016,1.61,0.913
11/30/2022,59.2264,1.519,1.099,0.7302,2.0211,1.4217,2.2721,1.0836,2.1389,0.9351,1.5088,1.8469,0.7865,0.9504,1.2322,0.9504,1.2066,1.0426,1.0375,1.099,1.2732,0.9863,1.3449,0.8941,0.8633,0.8941,0.9146,1.7086,0.8736,1.7137,1.227,0.9197,0.9043,0.8326,0.8736,0.8172,0.8736,1.3859,1.3141,2.3919,2.0857,1.35,1.2527,1.0426,1.3397,1.1348,1.1861,1.2475,0.6994
11/29/2022,49.6375,1.2326,1.1327,1.1077,1.5865,2.0528,1.4241,1.574,1.5074,1.2243,1.1285,1.5948,1.0952,0.887,0.8537,1.0535,1.1327,0.708,0.912,0.8578,0.8703,1.0744,1.0244,0.8703,0.708,0.7829,0.6163,0.6163,0.5914,1.3658,0.7538,0.6913,0.6205,0.8204,0.8245,0.6497,0.7538,0.8787,0.9786,2.1631,1.8884,0.8412,0.9869,0.708,0.862,1.1701,0.9411,0.7163,0.8037
11/28/2022,53.3975,0.834,1.1881,1.1155,1.3016,1.7828,1.5695,2.0688,2.0597,1.0746,1.4514,1.8827,1.3924,0.9203,0.9747,1.0156,1.2108,0.775,0.7387,0.8249,1.1745,1.1609,1.061,1.2335,1.179,0.8794,0.943,0.6388,0.8113,1.4741,0.8204,0.5253,0.7251,0.8204,0.8476,0.775,0.8613,1.0247,0.834,2.2337,1.9493,0.8431,0.9066,0.6297,0.9339,0.8749,0.9611,0.9793,1.1155
11/27/2022,72.7636,1.3324,1.1446,1.8959,2.4269,2.6665,2.2521,2.958,1.98,2.3168,1.5785,2.7119,1.1964,1.0021,1.1381,1.4684,1.0086,1.3972,1.6303,1.6433,1.3518,1.3583,1.4296,1.2741,1.1446,1.3583,1.2288,1.1576,1.028,2.1679,1.2417,0.6848,0.9568,0.9179,0.6913,1.0086,1.2482,1.6562,1.0604,2.1488,1.8761,1.7987,1.8311,1.177,1.6821,1.5461,1.5526,0.9633,1.4749
11/26/2022,48.6029,0.6783,1.0153,0.8488,1.0762,2.0222,1.8639,1.2102,1.3482,1.3198,1.4416,1.0924,0.7676,0.7473,0.7635,0.999,1.0193,1.0599,1.1249,1.0234,0.9584,0.8041,0.9219,1.0599,0.6255,0.5524,0.9544,1.0924,0.6458,1.2508,0.7879,0.8163,0.8285,0.5889,0.4996,0.5362,0.8569,0.7473,0.9219,1.8279,1.5993,1.2061,1.2345,0.6417,1.0396,1.129,1.1127,0.999,0.9422
