date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,14.8174,0.3548,0.3071,0.2812,0.3644,0.3153,0.4394,0.2982,0.3139,0.2757,0.3644,0.3923,0.3344,0.2894,0.2942,0.3235,0.2969,0.2553,0.3228,0.288,0.2635,0.3092,0.3289,0.3064,0.2928,0.2812,0.2948,0.2792,0.2573,0.303,0.2717,0.243,0.2198,0.243,0.2328,0.2587,0.2785,0.3098,0.2921,0.4226,0.7759,0.3017,0.2396,0.3023,0.2982,0.2532,0.2451,0.3064,0.2955
12/13/2022,21.5015,0.411,0.4475,0.3881,0.6028,0.6878,0.7229,0.5339,0.4691,0.4799,0.3813,0.6217,0.5285,0.4137,0.4273,0.4772,0.3813,0.3705,0.4894,0.4029,0.43,0.4637,0.4286,0.5164,0.384,0.3584,0.4529,0.3665,0.3449,0.5434,0.3624,0.3638,0.3422,0.3813,0.3111,0.2922,0.3854,0.4894,0.4664,0.4227,0.7761,0.4219,0.4921,0.4016,0.3921,0.4421,0.5164,0.3597,0.357
12/12/2022,28.8114,0.5787,0.6828,0.7348,0.8555,0.945,0.6204,1.0574,0.9138,0.7681,0.6433,0.816,0.5704,0.4393,0.585,0.5621,0.612,0.4643,0.5475,0.6537,0.5683,0.5912,0.6079,0.687,0.4788,0.4684,0.6016,0.7848,0.4435,0.4705,0.612,0.3561,0.4809,0.4726,0.4601,0.4143,0.4747,0.5038,0.4476,0.5391,1.0534,0.6453,0.739,0.4247,0.6308,0.5683,0.4122,0.4455,0.3789
12/11/2022,3.5233,0.0807,0.0986,0.1089,0.0565,0.0261,-0.0182,-0.0285,0.0646,0.1009,0.0901,0.0552,0.095,0.0847,0.1152,0.1098,0.1112,0.1138,0.0924,0.0789,0.0785,0.1004,0.0704,0.1143,0.1156,0.1273,0.121,0.0977,0.1179,0.0162,0.0767,0.1331,0.1183,0.1147,0.117,0.0955,0.091,0.0655,0.0879,-0.0685,-0.3932,0.0521,0.0892,0.0964,0.1223,0.0995,0.0736,0.0646,0.0924
12/10/2022,17.7815,0.3114,0.3046,0.4092,0.5041,0.6352,0.5031,0.5354,0.4728,0.4337,0.3007,0.5286,0.375,0.3036,0.3134,0.3271,0.3682,0.374,0.3975,0.3995,0.329,0.2831,0.3985,0.3183,0.4092,0.2557,0.2713,0.4161,0.287,0.3907,0.3564,0.2596,0.288,0.3095,0.2801,0.3085,0.2919,0.2831,0.3936,0.3932,0.706,0.3858,0.2909,0.3046,0.3535,0.3789,0.3779,0.3995,0.2645
12/9/2022,17.715,0.4105,0.3357,0.3221,0.4649,0.4066,0.5096,0.462,0.5135,0.4338,0.3454,0.4698,0.3309,0.3678,0.3027,0.3328,0.3143,0.3192,0.3454,0.3687,0.3134,0.325,0.2959,0.4066,0.3192,0.3211,0.3085,0.4144,0.2939,0.3241,0.3493,0.3192,0.3066,0.3192,0.2405,0.2492,0.3318,0.3493,0.3921,0.429,0.7913,0.3882,0.4494,0.3279,0.3639,0.3911,0.2735,0.3843,0.3814
12/8/2022,23.6417,0.4607,0.4967,0.5921,0.808,0.7282,0.7282,0.6703,0.808,0.7204,0.5045,0.6907,0.503,0.395,0.4013,0.4373,0.3903,0.4842,0.4169,0.5045,0.5217,0.4279,0.3919,0.4357,0.3747,0.4795,0.406,0.6641,0.3638,0.6703,0.4232,0.2809,0.3512,0.3825,0.3325,0.3747,0.3935,0.3794,0.3638,0.3656,0.6403,0.5483,0.5436,0.4154,0.5264,0.5405,0.4639,0.3606,0.4795
12/7/2022,17.6823,0.338,0.3187,0.3351,0.5327,0.3816,0.4823,0.5733,0.4078,0.3971,0.3012,0.3535,0.431,0.3332,0.279,0.3593,0.3719,0.3303,0.3129,0.3129,0.3894,0.3051,0.3739,0.4165,0.3439,0.2557,0.2925,0.2635,0.3061,0.4513,0.3042,0.2325,0.2635,0.3129,0.2751,0.2925,0.3177,0.3109,0.3632,0.5667,1.1192,0.37,0.3797,0.3768,0.3313,0.3497,0.3158,0.3477,0.3032
12/6/2022,17.5504,0.2908,0.3577,0.3061,0.4255,0.5105,0.5239,0.5649,0.4341,0.3586,0.3663,0.308,0.3032,0.3013,0.3357,0.3816,0.329,0.372,0.373,0.3644,0.3519,0.3529,0.3252,0.3405,0.2746,0.2755,0.286,0.4026,0.2918,0.4331,0.3338,0.3176,0.2354,0.2507,0.2393,0.3195,0.3004,0.287,0.3605,0.559,1.1009,0.3443,0.3051,0.3605,0.2813,0.308,0.3796,0.3758,0.351
