date,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/14/2022,50.617,0.8315,0.8954,0.7036,1.4111,1.475,1.3003,1.9736,1.735,1.2108,0.7164,1.4963,0.9466,1.0403,0.8741,0.9508,0.8443,0.7292,0.9934,0.759,1.0915,0.9551,0.8144,0.6695,0.8997,0.5417,0.6695,1.0062,0.7676,1.0361,0.8485,0.5247,0.6355,0.7548,0.5758,0.6653,0.8102,1.0744,0.9892,4.8272,1.8433,0.7889,1.4153,0.938,0.9295,1.019,0.8059,1.1128,0.7207
12/13/2022,73.451,1.8684,1.0372,1.7571,2.3985,3.4196,2.3069,2.0844,2.7651,1.3317,2.1106,1.9011,0.9128,0.8997,0.9783,1.2204,1.3317,1.5346,1.6393,1.2924,1.2793,1.2073,1.6066,1.4102,1.6197,1.1746,1.4561,2.1957,1.0437,1.0306,1.0372,1.0699,1.083,0.9324,0.9848,0.939,1.3382,1.0568,1.4953,4.7105,1.8014,1.5935,1.6197,0.8539,1.2008,1.2597,1.3055,1.4888,0.867
12/12/2022,98.422,1.523,1.4507,2.1288,2.9698,3.7564,2.7708,2.7527,1.9661,2.0836,2.4905,2.7256,2.0294,1.6134,1.1975,1.6134,1.8214,1.4959,2.4091,1.9932,2.3097,1.9028,2.2554,1.4959,1.5773,1.6405,2.165,1.5501,1.2879,2.1288,1.4235,1.098,0.9533,1.3241,1.0166,1.6134,1.3241,1.4507,2.174,9.257,3.437,1.7581,2.1831,1.9299,1.1432,2.2464,1.4687,1.514,2.0022
12/11/2022,12.0357,0.2393,0.2591,0.2542,0.3277,0.3479,0.3237,0.3297,0.299,0.3006,0.2276,0.2898,0.2211,0.2151,0.2333,0.2478,0.2147,0.2591,0.2437,0.2563,0.2405,0.2288,0.2567,0.245,0.2337,0.2437,0.2333,0.2998,0.2211,0.2692,0.2333,0.1981,0.2131,0.203,0.2248,0.2131,0.2179,0.2684,0.2252,0.302,0.2154,0.2663,0.2756,0.2074,0.2567,0.232,0.2546,0.2466,0.2207
12/10/2022,60.7405,1.1424,0.9789,1.385,2.155,1.3111,2.0126,1.3428,1.9282,1.0316,1.8755,1.7225,1.2478,0.7732,1.2109,1.0211,1.4113,1.2268,1.2162,1.0052,1.1898,1.2953,1.1371,1.4008,0.7046,1.1107,0.7679,1.1002,0.9209,1.0052,1.2373,0.9156,1.0422,0.8681,0.6677,1.0052,0.9367,1.2637,0.8048,4.1539,1.6011,1.5748,1.5907,1.2373,1.2742,0.847,1.0422,1.1846,0.8628
12/9/2022,60.516,0.8809,1.4428,1.133,2.0205,2.3566,2.1097,1.0437,2.3251,1.8157,1.968,1.6844,1.217,1.1855,0.8599,0.9071,0.9912,1.3378,1.0752,1.4008,1.3588,1.0174,0.7338,1.322,1.0489,1.1225,1.2065,1.2852,0.8441,1.2432,1.0752,0.4975,0.6708,0.9491,0.9912,0.6761,1.0174,1.2485,0.9229,2.7543,1.0976,1.4796,0.8179,1.4113,1.3115,0.9386,1.6161,1.217,0.8861
12/8/2022,80.7623,1.9493,1.7674,1.5564,2.0658,2.3132,2.9462,3.1572,2.8152,1.5783,2.3204,1.6146,1.309,1.3745,1.1708,1.8402,1.0544,1.1053,1.5492,1.5492,1.7165,1.3454,1.2508,1.7383,0.9889,1.4618,1.5637,1.1271,1.1635,2.124,1.2654,1.1635,1.229,1.0616,0.9962,1.2508,1.2508,1.5637,1.1781,5.2609,1.9994,2.1531,1.5564,0.8797,1.5346,1.8257,1.8038,1.8257,1.4473
12/7/2022,60.4032,1.3877,0.9213,0.806,1.3615,1.5763,2.3519,1.0104,1.7126,1.1833,1.3824,0.9003,1.613,1.1938,0.8165,1.0785,0.8689,1.2095,0.9894,1.3143,1.178,0.8322,0.8007,1.199,1.4505,0.8374,0.7536,1.2619,0.7483,1.875,1.0837,0.9842,0.8636,0.7169,0.8479,0.7012,1.089,0.9684,0.916,6.4523,2.428,1.199,1.0261,0.7955,1.1885,0.9422,0.8217,1.4086,1.3562
12/6/2022,59.9533,1.0447,1.3304,0.7537,1.7305,2.6604,1.6006,2.1773,1.9175,1.4967,0.8628,1.7512,1.3564,1.1174,1.133,1.2109,1.159,0.8992,1.0603,1.2525,1.2265,0.7537,0.8836,0.7797,0.707,1.2213,1.0655,1.3564,0.7433,1.1953,1.2317,0.6291,0.6031,0.7693,0.5667,0.8265,0.9408,1.4603,0.9304,4.7707,1.823,0.7693,1.2837,0.7901,1.4239,1.1901,0.9408,1.2889,1.2681
12/5/2022,65.1272,1.2635,1.3092,1.0122,1.6748,1.7148,1.9376,2.6231,1.8862,1.0521,1.1207,1.1664,1.3264,0.8408,1.0293,1.3206,1.2635,0.9093,1.5206,1.2407,1.155,0.875,1.5206,1.6463,1.2178,1.0864,1.3035,1.1207,0.7894,2.0005,1.3149,0.8522,0.6294,0.8922,1.0007,0.8979,1.0921,1.6063,1.4863,4.4057,1.6917,1.2749,0.7779,1.5434,1.2921,1.5891,1.5206,1.3606,0.9722
12/4/2022,63.1024,1.175,1.164,1.2412,1.6875,2.2385,1.7867,2.4589,2.1504,0.7783,1.9244,1.671,1.5993,1.2742,1.1199,1.1585,0.8995,0.9491,1.4561,1.3624,0.9491,1.2577,0.7838,1.2632,0.9822,0.9932,0.9712,0.9491,0.7563,1.5663,1.0814,0.883,0.5854,0.6295,0.9491,0.6571,0.9271,1.2797,1.0097,6.4924,2.4424,0.9161,1.6269,0.7012,0.7563,0.8665,0.7893,1.0373,0.905
